customer_id,favorite_food
C1,Tacos
C1,Biryani
C1,Gulab Jamun
C2,Enchiladas
C2,Tiramisu
C3,Rogan Josh
C3,Mapo Tofu
C3,Spaghetti Carbonara
C3,Kung Pao Chicken
C4,Udon
C4,Wonton Soup
C4,Sweet and Sour Pork
C4,Chiles Rellenos
C5,Sweet and Sour Pork
C5,Kung Pao Chicken
C5,Udon
C6,Churros
C6,Kung Pao Chicken
C6,Spaghetti Carbonara
C7,Pizza Margherita
C8,Tiramisu
C8,Ramen
C8,Enchiladas
C8,Chole Bhature
C8,Wonton Soup
C9,Gulab Jamun
C10,Wonton Soup
C10,Mapo Tofu
C10,Chiles Rellenos
C10,Churros
C11,Kung Pao Chicken
C11,Burrito
C11,Spaghetti Carbonara
C11,Mapo Tofu
C12,Sushi
C12,Biryani
C12,Rogan Josh
C12,Gulab Jamun
C13,Butter Chicken
C13,Biryani
C13,Spaghetti Carbonara
C14,Miso Soup
C14,Enchiladas
C14,Kung Pao Chicken
C15,Tempura
C15,Burrito
C15,Ramen
C15,Miso Soup
C16,Sweet and Sour Pork
C16,Chiles Rellenos
C16,Biryani
C16,Enchiladas
C17,Mapo Tofu
C18,Pizza Margherita
C18,Mapo Tofu
C18,Biryani
C19,Pizza Margherita
C19,Wonton Soup
C19,Tacos
C20,Kung Pao Chicken
C20,Miso Soup
C20,Risotto
C20,Fried Rice
C22,Wonton Soup
C22,Pizza Margherita
C22,Lasagna
C23,Chole Bhature
C23,Lasagna
C23,Spaghetti Carbonara
C24,Udon
C24,Risotto
C24,Rogan Josh
C24,Tacos
C24,Miso Soup
C25,Miso Soup
C25,Spaghetti Carbonara
C27,Rogan Josh
C27,Butter Chicken
C27,Chole Bhature
C28,Chiles Rellenos
C29,Sushi
C29,Udon
C30,Chiles Rellenos
C30,Spaghetti Carbonara
C31,Spaghetti Carbonara
C32,Biryani
C33,Biryani
C33,Lasagna
C33,Sweet and Sour Pork
C33,Tacos
C34,Biryani
C35,Spaghetti Carbonara
C36,Lasagna
C36,Miso Soup
C36,Mapo Tofu
C36,Chiles Rellenos
C37,Rogan Josh
C37,Tempura
C38,Tiramisu
C39,Chole Bhature
C39,Tempura
C39,Kung Pao Chicken
C39,Lasagna
C40,Mapo Tofu
C40,Udon
C40,Chiles Rellenos
C41,Tempura
C41,Sushi
C42,Gulab Jamun
C42,Sushi
C43,Tacos
C43,Butter Chicken
C43,Mapo Tofu
C43,Biryani
C44,Kung Pao Chicken
C44,Pizza Margherita
C44,Rogan Josh
C44,Burrito
C44,Spaghetti Carbonara
C45,Fried Rice
C45,Enchiladas
C45,Miso Soup
C46,Burrito
C46,Spaghetti Carbonara
C47,Ramen
C47,Risotto
C47,Lasagna
C47,Spaghetti Carbonara
C47,Gulab Jamun
C48,Ramen
C48,Wonton Soup
C48,Pizza Margherita
C48,Chiles Rellenos
C48,Sushi
C49,Burrito
C49,Tiramisu
C49,Ramen
C49,Mapo Tofu
C50,Fried Rice
C50,Sweet and Sour Pork
C50,Burrito
C50,Butter Chicken
C50,Udon
C51,Biryani
C51,Chole Bhature
C51,Chiles Rellenos
C51,Udon
C51,Tacos
C52,Gulab Jamun
C52,Tempura
C52,Butter Chicken
C52,Burrito
C52,Miso Soup
C53,Fried Rice
C54,Fried Rice
C54,Gulab Jamun
C54,Tiramisu
C54,Biryani
C55,Chiles Rellenos
C55,Tempura
C55,Enchiladas
C55,Risotto
C56,Rogan Josh
C56,Burrito
C57,Rogan Josh
C58,Wonton Soup
C59,Churros
C59,Miso Soup
C59,Lasagna
C60,Wonton Soup
C60,Sweet and Sour Pork
C60,Tacos
C61,Fried Rice
C61,Ramen
C61,Gulab Jamun
